date,accursed_share,structural_cost,total_entropy,bataille_ratio,D_scalar,neff
2015-01-01,0.0,0.004146907150014064,0.004146907150014064,0.0,0.0005945146549493074,6246.21728515625
2015-01-15,0.0004887659393390746,0.00407672530988691,0.004565491249225985,0.11989179799888292,0.0005758432671427727,7085.86865234375
2015-01-29,0.0027394170924760937,0.004155264403764096,0.006894681496240189,0.6592641912433157,0.0005579758435487747,8008.20947265625
2015-02-12,0.003118574372795857,0.004317852345198929,0.007436426717994786,0.7222512608700737,0.0005410891608335078,8983.126953125
2015-02-26,0.006768092215189192,0.004285930883016286,0.011054023098205478,1.5791416712048987,0.0005253072595223784,9964.9404296875
2015-03-12,0.010920456988276867,0.004126612254819815,0.015047069243096681,2.646349123518218,0.0005106955650262535,10897.943359375
2015-03-26,0.014310666909671121,0.003967041936511046,0.018277708846182166,3.607389782604154,0.0004972476162947714,11728.013671875
2015-04-09,0.0047322803343815955,0.0038823911870055415,0.008614671521387137,1.2189086530820974,0.0004848974058404565,12416.62109375
2015-04-23,0.006000263905758825,0.0038102090260553013,0.009810472931814126,1.574785978209779,0.000473530002636835,12951.3701171875
2015-05-07,0.0020427906882035654,0.003732159030233622,0.005774949718437188,0.5473482284437569,0.00046301426482386887,13346.0673828125
2015-05-21,0.0063251191697955705,0.0036542554662847507,0.009979374636080321,1.7308913005847215,0.000453221146017313,13630.7138671875
2015-06-04,0.015495768435250962,0.0035817054141292046,0.019077473849380168,4.326365853955009,0.00044402695493772626,13839.0556640625
2015-06-18,0.015619133980573562,0.0035053900130429987,0.01912452399361656,4.455747713345014,0.0004352955147624016,14001.8544921875
2015-07-02,0.015565462980028031,0.003548332353293899,0.01911379533332193,4.386698029261235,0.0004268873017281294,14144.232421875
2015-07-16,0.013658908528873366,0.003506346099627315,0.01716525462850068,3.8954820064046025,0.00041871346184052527,14284.263671875
2015-07-30,0.016985596089517115,0.003518943390166263,0.02050453947968338,4.8269022043075145,0.0004108211142010987,14429.1982421875
2015-08-13,0.023713099959029902,0.0035632212419154192,0.027276321200945322,6.654961250956939,0.0004034489975310862,14570.3955078125
2015-08-27,0.025938616772028085,0.003570759282745196,0.02950937605477328,7.264173804981087,0.0003970111138187349,14683.3212890625
2015-09-10,0.020259660129192846,0.0035585401176829977,0.023818200246875844,5.693250290812821,0.00039197286241687834,14737.9931640625
2015-09-24,0.01973230530050359,0.003588330362829402,0.023320635663332992,5.4990212035668105,0.0003886794438585639,14716.8974609375
2015-10-08,0.018207206526343472,0.003635798275565201,0.021843004801908674,5.007760234645322,0.0003872362431138754,14629.5107421875
2015-10-22,0.014915783096200591,0.0037233720264266846,0.018639155122627274,4.005987741685988,0.0003875317343045026,14507.7470703125
2015-11-05,0.003018301408493837,0.003712488570447458,0.006730789978941295,0.8130129614995022,0.00038937097997404635,14386.166015625
2015-11-19,0.00475543179849648,0.0037676123130859183,0.008523044111582398,1.262187103423803,0.0003925927449017763,14283.734375
2015-12-03,0.003988897433620447,0.003812611629737768,0.007801509063358214,1.046237518105418,0.0003970811958424747,14198.6630859375
2015-12-17,0.008237614541972901,0.0038006554721178023,0.012038270014090705,2.1674193795421286,0.0004026793467346579,14117.3515625
2015-12-31,0.0047957392355074055,0.003910172862647117,0.008705912098154522,1.2264775193629227,0.00040908134542405605,14026.2548828125
2016-01-14,0.01467277219963842,0.003930804529900262,0.018603576729538683,3.732765573752445,0.0004157763905823231,13921.1337890625
2016-01-28,0.04487112781140318,0.0038729660773167193,0.0487440938887199,11.585726742000865,0.000422074634116143,13809.9345703125
2016-02-11,0.03164825298465918,0.003871437061578064,0.03551969004623724,8.174807355457324,0.00042721093632280827,13709.7197265625
2016-02-25,0.031583592942198556,0.00391591639440856,0.035499509336607116,8.065440871197328,0.0004305069742258638,13640.1376953125
2016-03-10,0.06756376518864227,0.0037686908861468507,0.07133245607478912,17.927647938500836,0.00043153559090569615,13615.6640625
2016-03-24,0.03695124614949226,0.003654080612491769,0.04060532676198403,10.11232346980499,0.0004302331944927573,13641.671875
2016-04-07,0.018776860174014025,0.0035588373254193083,0.022335697499433333,5.276121926755815,0.0004269214114174247,13711.5439453125
2016-04-21,0.007106363611248463,0.003516560353271279,0.010622923964519743,2.0208279384583796,0.0004221976560074836,13808.888671875
2016-05-05,0.004066433528596374,0.0034585292396581975,0.007524962768254571,1.1757695625037707,0.0004167493025306612,13912.341796875
2016-05-19,0.006224580649267138,0.0033448595116106023,0.00956944016087774,1.8609392835682883,0.00041114777559414506,14003.375
2016-06-02,0.01034373792641183,0.003326054253936126,0.013669792180347955,3.109912474572408,0.000405726779717952,14072.7001953125
2016-06-16,0.010148533833900228,0.0032747679550238435,0.01342330178892407,3.0990084376605833,0.00040058555896393955,14122.59375
2016-06-30,0.013855790637286257,0.003279675731181359,0.017135466368467616,4.224743953519125,0.0003957060107495636,14162.61328125
2016-07-14,0.032340607855245715,0.003310714773213516,0.03565132262845923,9.76846665863877,0.0003911006497219205,14202.5478515625
2016-07-28,0.02191744629609378,0.0033212841202250563,0.025238730416318838,6.599087835550736,0.00038690422661602497,14246.666015625
2016-08-11,0.021897766833001663,0.0034039100852024176,0.02530167691820408,6.433121216945237,0.000383374048396945,14291.609375
2016-08-25,0.027073159388236043,0.0034157625047280564,0.0304889218929641,7.925948762001701,0.00038079562364146113,14328.9794921875
2016-09-08,0.020156714457387818,0.003502930226801098,0.023659644684188914,5.754243612317314,0.00037937751039862633,14349.693359375
