date,accursed_share,structural_cost,total_entropy,bataille_ratio,D_scalar,neff
2015-01-01,0.0005460120113557152,0.0009147670170257142,0.0014607790283814293,0.5968863563122228,0.0005945146549493074,6246.21728515625
2015-01-15,0.0004669991987829563,0.000864721138013385,0.0013317203367963415,0.5400575101588144,0.0005758432671427727,7085.86865234375
2015-01-29,0.00037081523520665817,0.0008185086920019074,0.0011893239272085655,0.4530375712882923,0.0005579758435487747,8008.20947265625
2015-02-12,0.00026527318212037423,0.0007755462501314604,0.0010408194322518347,0.34204684487962406,0.0005410891608335078,8983.126953125
2015-02-26,0.000261386189137814,0.0007365325394016975,0.0009979187285395115,0.3548874485048538,0.0005253072595223784,9964.9404296875
2015-03-12,0.0005063738430153981,0.0007010973123687583,0.0012074711553841564,0.7222588959564711,0.0005106955650262535,10897.943359375
2015-03-26,0.001074084554450073,0.0006687782488143676,0.0017428628032644406,1.606039663745463,0.0004972476162947714,11728.013671875
2015-04-09,0.001963542448212969,0.0006401559320958602,0.0026036983803088293,3.0672872702368568,0.0004848974058404565,12416.62109375
2015-04-23,0.0031451664147362423,0.000614800238279881,0.0037599666530161234,5.115752576740515,0.000473530002636835,12951.3701171875
2015-05-07,0.004354021705800471,0.0005934467444002396,0.00494746845020071,7.336835214282441,0.00046301426482386887,13346.0673828125
2015-05-21,0.005276008687502543,0.0005749202794919116,0.005850928966994455,9.176938017339442,0.000453221146017313,13630.7138671875
2015-06-04,0.00540643785198082,0.0005588888630944862,0.005965326715075306,9.673545568060902,0.00044402695493772626,13839.0556640625
2015-06-18,0.004964225426925498,0.0005449154390401517,0.005509140865965649,9.11008233619066,0.0004352955147624016,14001.8544921875
2015-07-02,0.004486647023771944,0.0005320078300574918,0.005018654853829436,8.433421327548803,0.0004268873017281294,14144.232421875
2015-07-16,0.0037849965879058365,0.0005197105616583542,0.0043047071495641905,7.28289193804149,0.00041871346184052527,14284.263671875
2015-07-30,0.0027707349177703003,0.0005076009865633005,0.003278335904333601,5.458488941640149,0.0004108211142010987,14429.1982421875
2015-08-13,0.0018888501585442234,0.0004960111797623441,0.0023848613383065675,3.8080790409630114,0.0004034489975310862,14570.3955078125
2015-08-27,0.0011102966956290728,0.0004855335970178452,0.0015958302926469179,2.2867551777529154,0.0003970111138187349,14683.3212890625
2015-09-10,0.0004949433221665654,0.00047733640772802113,0.0009722797298945865,1.036885539139563,0.00039197286241687834,14737.9931640625
2015-09-24,0.00022534804754178753,0.000472016191191415,0.0006973642387332025,0.4774158259940291,0.0003886794438585639,14716.8974609375
2015-10-08,0.0003442421615722822,0.00046922811968940083,0.0008134702812616831,0.7336348223049087,0.0003872362431138754,14629.5107421875
2015-10-22,0.0007809221276137044,0.0004691783287874809,0.0012501004564011854,1.6644459329297745,0.0003875317343045026,14507.7470703125
2015-11-05,0.0015059161985736384,0.000471656680310103,0.0019775728788837413,3.1928221143848177,0.00038937097997404635,14386.166015625
2015-11-19,0.002462497615320019,0.00047621509932579357,0.0029387127146458126,5.170976522392239,0.0003925927449017763,14283.734375
2015-12-03,0.003872268642394816,0.0004821971276268651,0.004354465770021681,8.030466416101554,0.0003970811958424747,14198.6630859375
2015-12-17,0.004891749966720895,0.0004898574527238818,0.005381607419444777,9.986066233989924,0.0004026793467346579,14117.3515625
2015-12-31,0.005251708663945139,0.0004983906266937816,0.005750099290638921,10.537332222820156,0.00040908134542405605,14026.2548828125
2016-01-14,0.004611559774708376,0.0005070716415426429,0.005118631416251019,9.094491759053309,0.0004157763905823231,13921.1337890625
2016-01-28,0.003968167473218557,0.0005149342915499151,0.004483101764768472,7.706161286440126,0.000422074634116143,13809.9345703125
2016-02-11,0.002637602425041873,0.0005199764844190187,0.0031575789094608914,5.072540772175201,0.00042721093632280827,13709.7197265625
2016-02-25,0.0014130660937819325,0.0005215796337026284,0.001934645727484561,2.709204369868352,0.0004305069742258638,13640.1376953125
2016-03-10,0.00044734279118266456,0.0005187384161436441,0.0009660812073263086,0.86236663995621,0.00043153559090569615,13615.6640625
2016-03-24,0.00013606557232322293,0.0005116260931442173,0.0006476916654674402,0.2659472367648478,0.0004302331944927573,13641.671875
2016-04-07,0.0004532449796515577,0.0005016062836532656,0.0009548512633048233,0.9035869447085472,0.0004269214114174247,13711.5439453125
2016-04-21,0.001118200774009158,0.0004903280118596275,0.0016085287858687855,2.280515326294976,0.0004221976560074836,13808.888671875
2016-05-05,0.0019057844541534794,0.0004795041656135814,0.0023852886197670608,3.9744890521772667,0.0004167493025306612,13912.341796875
2016-05-19,0.002673950480629836,0.0004705990400522391,0.003144549520682075,5.682013104258993,0.00041114777559414506,14003.375
2016-06-02,0.003288837561598433,0.0004638157699772932,0.003752653331575726,7.090825852421658,0.000405726779717952,14072.7001953125
2016-06-16,0.003353625742274562,0.00045867729495894025,0.0038123030372335023,7.311513013574107,0.00040058555896393955,14122.59375
2016-06-30,0.0030833732930382373,0.00045444079289986693,0.003537814085938104,6.784982032234582,0.0003957060107495636,14162.61328125
2016-07-14,0.002567425929068154,0.00045041226520666725,0.003017838194274821,5.700167507368755,0.0003911006497219205,14202.5478515625
2016-07-28,0.0021625143712392988,0.00044661939465358665,0.0026091337658928856,4.841961439494751,0.00038690422661602497,14246.666015625
2016-08-11,0.0017005534578255102,0.0004436296879519734,0.0021441831457774834,3.8332715791609764,0.000383374048396945,14291.609375
2016-08-25,0.0013057308684507353,0.00044229942983268713,0.0017480302982834225,2.9521416605273503,0.00038079562364146113,14328.9794921875
