date,time_symmetry,scale_symmetry,gauge_symmetry,gauge_signed,price_asymmetry
2015-01-01,0.0,13337.561864546617,6069.598073188803,5.282194427378499,38.4156494140625
2015-01-15,0.010553456448252316,28063.413592744262,21574.389920980495,14.142687948297407,28.293701171875
2015-01-29,0.016362644562385446,30480.358859589476,27541.507516997193,-267.5391820841405,95.993408203125
2015-02-12,0.02167416740159035,32560.420119620947,30078.18326688225,249.14525184154581,116.061767578125
2015-02-26,0.02621770949078279,41618.34133950481,40541.87036729491,-41.77466725939803,57.956787109375
2015-03-12,0.028401940248309766,43633.637726570705,41994.126884842524,-276.9861851530004,98.729248046875
2015-03-26,0.025713234163127346,47748.41842860512,46791.10242771542,160.69424100636388,-66.82080078125
2015-04-09,0.02755248791211206,46279.30896365973,45233.091240866735,-171.04527602112603,36.27294921875
2015-04-23,0.03634312393529771,46459.20833681333,45909.63481195825,57.39675143144996,37.232177734375
2015-05-07,0.03235577706750385,47712.359209887356,46738.604638989535,96.71098861900373,-22.02978515625
2015-05-21,0.02701500059861093,46188.280047511806,43266.61732676555,338.1007190400778,131.634521484375
2015-06-04,0.03365609140010041,46301.01921739638,43902.75815870348,-368.8805800578357,202.744873046875
2015-06-18,0.03642834468710542,45366.713627703066,40159.50455472834,27.92347370901234,98.5224609375
2015-07-02,0.035415524023310635,47075.93627136086,42706.32490095346,-36.27108430909357,-29.879150390625
2015-07-16,0.032615490171024275,47724.1655080449,44685.84679441374,-474.93645355633,3.77587890625
2015-07-30,0.03639779936667524,50105.32299869125,48727.061828712416,-511.5816628234079,-42.2314453125
2015-08-13,0.03629720022755144,53852.846646714264,53842.58946821804,-249.01679699029864,12.4881591796875
2015-08-27,0.038684370537010994,54963.041983992895,55962.13197125877,-297.97939246624446,-159.9375
2015-09-10,0.039604147767092375,54156.03014882153,53029.196712534584,-65.4623768265742,40.39892578125
2015-09-24,0.03863155680670416,52398.49572172812,50388.29221536778,164.29651812826114,32.0709228515625
2015-10-08,0.0334417446113321,51878.012322131784,51061.58710999368,-308.3892188267391,32.1805419921875
2015-10-22,0.034922935389886986,52059.27230818418,50477.28459800507,-454.99652334523876,48.291015625
2015-11-05,0.03235155103635253,50643.0038446749,49868.157884638924,352.2593663297607,-43.5413818359375
2015-11-19,0.028758362743484655,50014.79355206988,50633.07499615132,325.21867551424396,45.8277587890625
2015-12-03,0.02831582286667859,47289.10246212983,46993.7781808663,124.71354726189634,93.08251953125
2015-12-17,0.03308310464720959,53764.92929375004,54029.22823645659,303.071395815032,22.6259765625
